100		 1		 0		 0		
200		 2		 1		 2		
400		 0		 0		 0		
800		 0		 1		 1		
1600		 0		 1		 1		
3200		 0		 0		 2		
6400		 0		 1		 3		
12800		 1		 2		 6		
25600		 2		 5		 16		
51200		 4		 16		 26		
102400		 8		 27		 51		
204800		 19		 46		 94		
409600		 39		 96		 209		
819200		 104		 186		 433		
1638400		 174		 401		 879		
3276800		 334		 820		 1740		
6553600		 692		 1740		 3485		
13107200		 1475		 3555		 7171		
26214400		 3059		 7554		 16616		
