# the last one is heap sort
100		 0		 0		 1		 3
200		 0		 1		 0		 1
400		 0		 0		 1		 3
800		 0		 0		 0		 1
1600		 0		 1		 0		 1
3200		 0		 1		 1		 1
6400		 0		 1		 3		 2
12800		 2		 3		 5		 6
25600		 7		 6		 16		 11
51200		 4		 10		 26		 24
102400		 9		 21		 45		 49
204800		 18		 43		 96		 108
409600		 39		 140		 197		 236
819200		 80		 197		 460		 474
1638400		 162		 411		 907		 1075
3276800		 373		 803		 1681		 2108
6553600		 707		 1708		 3433		 4400
13107200		 1477		 3470		 7127		 9224
