100		 0		 0		 0		
300		 1		 2		 2		
500		 0		 1		 1		
700		 0		 1		 0		
900		 0		 1		 0		
1100		 1		 0		 0		
1300		 0		 1		 0		
1500		 0		 1		 0		
1700		 0		 0		 1		
1900		 0		 1		 1		
2100		 0		 1		 1		
2300		 1		 6		 1		
2500		 1		 0		 1		
2700		 1		 1		 1		
2900		 1		 1		 1		
3100		 0		 1		 2		
3300		 1		 1		 1		
3500		 1		 1		 2		
3700		 1		 1		 1		
3900		 1		 1		 1		
4100		 0		 2		 2		
4300		 1		 2		 6		
4500		 1		 1		 1		
4700		 1		 1		 2		
4900		 1		 2		 2		
5100		 1		 1		 2		
5300		 1		 2		 2		
5500		 1		 1		 2		
5700		 1		 3		 5		
5900		 3		 2		 3		
6100		 1		 1		 5		
6300		 1		 2		 3		
6500		 2		 1		 2		
6700		 1		 2		 3		
6900		 2		 2		 2		
7100		 1		 2		 3		
7300		 1		 5		 3		
7500		 2		 2		 3		
7700		 1		 2		 3		
7900		 1		 3		 3		
8100		 2		 2		 4		
8300		 2		 3		 3		
8500		 2		 3		 5		
8700		 1		 2		 4		
8900		 2		 3		 3		
9100		 2		 3		 4		
9300		 2		 2		 4		
9500		 2		 3		 7		
9700		 2		 3		 4		
9900		 2		 3		 4		
10100		 2		 4		 4		
10300		 2		 3		 4		
10500		 2		 4		 6		
10700		 2		 3		 4		
10900		 2		 3		 5		
11100		 3		 3		 4		
11300		 2		 3		 6		
11500		 2		 4		 5		
11700		 2		 4		 4		
11900		 2		 3		 5		
12100		 2		 3		 7		
12300		 3		 3		 5		
12500		 3		 4		 5		
12700		 2		 4		 7		
12900		 2		 4		 6		
13100		 2		 4		 6		
13300		 2		 4		 5		
13500		 3		 4		 7		
13700		 3		 4		 5		
13900		 2		 5		 6		
14100		 3		 7		 12		
14300		 3		 4		 7		
14500		 3		 4		 7		
14700		 3		 4		 7		
14900		 2		 4		 6		
15100		 3		 4		 7		
15300		 9		 4		 11		
15500		 3		 4		 7		
15700		 3		 5		 7		
15900		 3		 5		 8		
16100		 3		 5		 7		
