100		 0		 1		 0		 0		
5100		 2		 4		 4		 1		
10100		 0		 3		 4		 2		
15100		 2		 3		 6		 1		
20100		 1		 6		 13		 1		
25100		 2		 5		 8		 1		
30100		 2		 6		 18		 1		
35100		 3		 7		 26		 1		
40100		 3		 9		 17		 1		
45100		 4		 11		 19		 1		
50100		 4		 10		 21		 0		
55100		 4		 11		 23		 1		
60100		 15		 12		 25		 1		
65100		 5		 14		 29		 2		
70100		 5		 15		 31		 2		
75100		 6		 16		 33		 2		
80100		 7		 17		 36		 2		
85100		 7		 18		 38		 1		
90100		 7		 19		 39		 2		
95100		 8		 23		 45		 3		
100100		 11		 21		 57		 1		
105100		 9		 22		 48		 3		
110100		 9		 23		 86		 3		
115100		 10		 25		 68		 2		
120100		 10		 37		 53		 2		
125100		 11		 28		 56		 2		
130100		 11		 36		 57		 2		
135100		 10		 28		 58		 3		
140100		 11		 32		 71		 3		
145100		 12		 40		 76		 5		
150100		 14		 31		 65		 2		
155100		 13		 33		 65		 3		
160100		 13		 33		 85		 3		
165100		 14		 37		 74		 3		
170100		 14		 50		 114		 7		
175100		 15		 38		 81		 3		
180100		 15		 40		 78		 3		
185100		 17		 42		 79		 4		
190100		 17		 41		 140		 3		
195100		 17		 42		 119		 4		
200100		 19		 45		 101		 4		
205100		 17		 50		 99		 4		
210100		 34		 67		 132		 4		
215100		 19		 48		 108		 4		
220100		 24		 49		 117		 4		
225100		 24		 60		 121		 5		
230100		 21		 51		 107		 4		
235100		 32		 56		 113		 4		
240100		 31		 57		 111		 5		
245100		 29		 62		 163		 5		
250100		 28		 62		 132		 5		
255100		 29		 57		 131		 5		
260100		 22		 65		 155		 5		
265100		 22		 58		 147		 5		
270100		 21		 58		 143		 6		
275100		 23		 62		 188		 9		
280100		 24		 63		 134		 6		
285100		 25		 76		 131		 6		
290100		 26		 63		 188		 5		
295100		 31		 72		 144		 5		
300100		 26		 67		 168		 5		
305100		 37		 65		 139		 6		
310100		 27		 76		 172		 6		
315100		 46		 90		 148		 6		
320100		 33		 72		 211		 6		
325100		 45		 73		 154		 6		
330100		 28		 74		 175		 7		
335100		 33		 89		 195		 6		
340100		 45		 76		 157		 6		
345100		 32		 80		 158		 7		
350100		 33		 101		 225		 6		
355100		 33		 79		 190		 13		
360100		 32		 80		 188		 7		
365100		 46		 82		 161		 7		
370100		 36		 80		 183		 7		
375100		 45		 86		 207		 8		
380100		 37		 101		 183		 7		
385100		 37		 92		 209		 7		
390100		 52		 85		 170		 7		
395100		 57		 99		 176		 7		
400100		 47		 89		 196		 7		
405100		 50		 91		 239		 7		
410100		 48		 104		 220		 8		
415100		 44		 101		 242		 8		
420100		 43		 93		 245		 8		
425100		 38		 101		 203		 8		
430100		 38		 99		 201		 8		
435100		 42		 105		 261		 8		
440100		 43		 100		 265		 9		
445100		 40		 100		 208		 9		
450100		 42		 107		 209		 9		
455100		 63		 103		 253		 8		
460100		 47		 107		 298		 9		
465100		 52		 106		 234		 9		
470100		 50		 111		 273		 9		
475100		 52		 128		 239		 9		
480100		 43		 110		 215		 9		
485100		 46		 111		 248		 10		
490100		 45		 125		 243		 9		
495100		 57		 113		 229		 10		
500100		 46		 125		 280		 9		
505100		 49		 125		 249		 9		
510100		 53		 118		 303		 9		
515100		 56		 120		 302		 10		
520100		 50		 115		 299		 9		
525100		 53		 117		 330		 10		
530100		 45		 121		 304		 10		
535100		 47		 128		 321		 10		
540100		 57		 119		 271		 10		
545100		 46		 129		 295		 10		
550100		 53		 123		 297		 10		
555100		 49		 137		 298		 10		
560100		 54		 125		 266		 11		
565100		 56		 133		 321		 11		
570100		 52		 126		 273		 11		
575100		 51		 140		 328		 11		
580100		 54		 149		 341		 11		
585100		 54		 143		 392		 15		
590100		 59		 132		 319		 11		
595100		 56		 139		 313		 10		
600100		 56		 134		 329		 11		
605100		 58		 139		 320		 11		
610100		 55		 150		 316		 11		
615100		 60		 149		 301		 12		
620100		 68		 154		 312		 11		
625100		 58		 150		 315		 12		
630100		 62		 155		 294		 12		
635100		 59		 192		 305		 12		
640100		 72		 155		 376		 13		
645100		 61		 154		 322		 13		
650100		 73		 149		 315		 12		
655100		 62		 209		 337		 12		
660100		 62		 155		 366		 12		
665100		 63		 171		 311		 12		
670100		 64		 162		 325		 13		
675100		 72		 166		 320		 14		
680100		 69		 203		 330		 12		
685100		 64		 165		 404		 13		
690100		 71		 158		 315		 13		
695100		 65		 167		 331		 13		
700100		 71		 160		 320		 13		
705100		 76		 159		 366		 13		
710100		 78		 178		 352		 13		
715100		 71		 205		 334		 15		
720100		 73		 178		 404		 13		
725100		 71		 182		 364		 14		
730100		 78		 169		 355		 14		
735100		 74		 183		 352		 14		
740100		 77		 235		 374		 14		
745100		 74		 183		 405		 15		
750100		 84		 187		 358		 14		
755100		 73		 189		 377		 15		
760100		 77		 177		 373		 15		
765100		 76		 177		 421		 17		
770100		 87		 178		 419		 14		
775100		 79		 175		 422		 14		
780100		 75		 185		 437		 15		
785100		 80		 183		 455		 15		
790100		 88		 186		 447		 15		
795100		 80		 187		 452		 22		
800100		 85		 187		 439		 15		
805100		 81		 189		 460		 16		
810100		 93		 197		 453		 18		
815100		 80		 194		 473		 16		
820100		 83		 194		 454		 16		
825100		 88		 202		 436		 15		
830100		 97		 189		 453		 18		
835100		 83		 191		 493		 15		
840100		 92		 195		 467		 16		
845100		 81		 197		 484		 16		
850100		 83		 212		 462		 16		
855100		 83		 198		 481		 16		
860100		 80		 215		 465		 16		
865100		 82		 227		 480		 19		
