100		  0	 0	 2	 0
200		  2	 1	 2	 0
400		  0	 0	 0	 0
800		  0	 1	 1	 1
1600		  0	 2	 0	 1
3200		  0	 1	 1	 0
6400		  1	 2	 2	 0
12800		  2	 3	 5	 1
25600		  6	 4	 16	 0
51200		  11	 11	 21	 1
102400		  22	 21	 49	 2
204800		  47	 44	 91	 7
409600		  98	 89	 190	 8
819200		  201	 201	 381	 15
1638400	 	 439	 423	 841	 30
3276800	 	 868	 842	 1571	 60
6553600	 	 1856	 1682	 3251	 120
13107200	 3750	 3402	 6564	 240
26214400	 7780	 7014	 13482	 480
