100		 0		 1		 0		 1		
600		 2		 1		 2		 1		
1100		 0		 1		 1		 1		
1600		 0		 2		 1		 4		
2100		 0		 1		 1		 5		
2600		 1		 1		 1		 8		
3100		 1		 1		 1		 13		
3600		 1		 1		 1		 17		
4100		 1		 1		 1		 21		
4600		 1		 1		 2		 27		
5100		 1		 1		 2		 33		
5600		 1		 2		 2		 40		
6100		 1		 1		 3		 48		
6600		 2		 2		 7		 55		
7100		 1		 2		 3		 63		
7600		 2		 2		 3		 73		
8100		 1		 3		 3		 82		
8600		 1		 2		 4		 93		
9100		 7		 3		 6		 105		
9600		 2		 3		 4		 117		
10100		 2		 3		 4		 129		
10600		 2		 3		 4		 144		
11100		 2		 3		 4		 157		
11600		 2		 3		 4		 170		
12100		 2		 4		 5		 186		
12600		 3		 4		 5		 201		
13100		 2		 4		 8		 219		
13600		 3		 4		 5		 233		
14100		 3		 4		 6		 251		
14600		 3		 4		 9		 309		
15100		 3		 4		 7		 290		
15600		 3		 5		 7		 309		
16100		 3		 5		 9		 331		
16600		 8		 5		 10		 352		
17100		 3		 5		 9		 379		
17600		 4		 6		 7		 395		
18100		 4		 5		 8		 420		
18600		 4		 5		 9		 437		
19100		 4		 6		 8		 471		
19600		 4		 5		 10		 491		
20100		 4		 6		 8		 515		
20600		 4		 6		 10		 541		
21100		 4		 6		 9		 567		
21600		 4		 7		 11		 596		
22100		 4		 7		 10		 639		
22600		 5		 6		 11		 654		
23100		 4		 7		 10		 673		
23600		 4		 8		 12		 718		
24100		 5		 7		 12		 742		
24600		 5		 7		 11		 774		
25100		 5		 7		 12		 807		
25600		 5		 8		 12		 837		
26100		 6		 8		 13		 873		
26600		 6		 8		 13		 902		
27100		 5		 8		 13		 931		
27600		 5		 9		 14		 969		
28100		 6		 8		 14		 1016		
28600		 6		 8		 13		 1048		
29100		 6		 9		 19		 1083		
29600		 6		 9		 14		 1115		
30100		 6		 9		 13		 1173		
30600		 6		 9		 13		 1193		
31100		 6		 9		 16		 1236		
31600		 7		 10		 16		 1274		
32100		 6		 9		 15		 1315		
32600		 7		 10		 14		 1352		
33100		 7		 10		 15		 1403		
33600		 7		 10		 16		 1442		
